ball_possession,total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_percent,fouls_committed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,accurate_passes,accurate_passes_percent,own_half_passes,opposition_half_passes,accurate_long_balls,accurate_long_balls_percent,accurate_crosses,accurate_crosses_percent,throws,touches_in_opp_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_percent,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,successful_dribbles,successful_dribbles_percent,result,first_half_goals,full_time_goals
0.43,10,1,1,1,148,0.74,6,2,10,6,1,3,0,8,2,199,148,0.74,86,62,19,0.58,2,0.2,10,NULL,0,1,0,6,0.6,8,2,9,1,21,15,0.41,6,0.5,3,0.75,L,0,0
0.57,8,2,0,0,205,0.76,2,3,8,4,2,2,0,4,4,269,205,0.76,128,77,9,0.28,0,0,14,NULL,0,0,0,5,1,4,3,3,1,28,22,0.59,6,0.5,11,0.65,W,1,2
0.45,10,3,1,0,131,0.73,5,2,10,6,3,1,1,7,3,180,131,0.73,86,45,13,0.42,3,0.5,10,NULL,1,1,0,6,1,4,0,4,1,29,24,0.65,5,0.71,15,0.94,T,1,1
0.55,4,1,1,1,182,0.85,3,3,4,3,1,0,0,3,1,214,182,0.85,100,82,16,0.62,0,0,9,NULL,1,1,0,3,0.75,9,0,4,2,15,13,0.35,2,0.29,4,0.67,T,0,1
0.43,6,3,1,0,97,0.65,5,4,6,3,3,0,0,4,2,149,97,0.65,52,45,8,0.26,2,0.2,17,NULL,1,1,0,8,0.8,7,4,10,0,23,19,0.4,4,0.29,7,0.47,W,2,2
0.57,5,0,0,0,137,0.71,2,6,5,1,0,4,0,5,0,193,137,0.71,90,47,9,0.36,5,0.31,15,NULL,1,0,0,11,0.69,4,0,8,1,39,29,0.6,10,0.71,7,0.57,L,0,0
0.3,6,3,1,1,134,0.82,6,1,6,2,3,1,0,4,2,163,134,0.82,80,54,8,0.4,0,0,6,NULL,0,0,0,3,0.5,5,0,6,0,15,14,0.37,1,0.33,7,0.5,W,1,1
0.7,0,0,0,0,334,0.88,1,2,0,0,0,0,0,0,0,380,334,88,203,131,10,0.42,0,0,8,NULL,0,0,0,10,0.71,1,1,1,2,26,24,0.63,2,0.67,4,0.67,L,0,0
0.62,4,0,0,0,221,0.79,3,1,4,2,0,2,0,2,2,280,221,0.79,109,112,15,0.45,0,0,11,NULL,1,0,0,3,0.5,4,0,2,0,18,14,0.48,4,0.33,5,0.83,L,0,0
0.38,1,0,0,0,115,0.66,5,0,1,1,0,0,0,1,0,175,115,0.66,84,31,17,0.5,0,0,19,NULL,7,0,0,7,0.64,5,2,5,0,23,15,0.52,8,0.67,1,0.24,W,0,1
0.57,5,1,1,1,159,0.76,8,4,5,1,1,3,0,4,1,209,159,0.76,101,58,5,0.31,6,0.38,19,NULL,4,0,0,6,0.38,4,0,5,0,32,27,0.52,5,0.31,4,0.5,L,0,1
0.43,6,2,0,0,117,0.7,7,2,6,4,2,0,0,4,2,167,117,0.7,74,43,9,0.33,4,0.67,14,NULL,0,0,0,9,0.69,11,3,16,1,36,25,0.48,11,0.69,5,0.33,W,2,2
0.59,3,2,0,0,257,0.89,3,1,3,1,2,0,0,1,2,290,257,0.89,141,116,11,0.73,2,0.2,8,NULL,0,0,0,2,1,5,3,9,1,13,9,0.36,4,0.8,0,0,T,0,0
0.41,5,1,0,0,156,0.79,7,2,5,1,1,3,0,3,2,198,156,0.79,108,48,13,0.68,0,0,11,NULL,1,2,0,8,0.73,4,0,8,2,17,16,0.64,1,0.2,2,0.67,T,0,0
0.45,8,6,2,1,98,0.64,5,2,8,1,6,1,0,7,1,154,98,0.64,45,53,10,0.34,5,0.56,10,NULL,0,0,0,5,0.5,4,0,12,2,35,22,0.46,13,0.59,8,0.47,W,2,2
0.55,9,3,2,2,139,0.76,5,7,9,6,3,0,0,8,1,182,139,0.76,64,75,6,0.4,3,0.16,8,NULL,0,0,0,7,0.5,4,1,10,4,35,26,0.54,9,0.41,8,0.62,L,1,1
0.36,3,0,1,1,157,0.81,8,1,3,2,0,1,0,2,1,193,157,0.81,95,62,6,0.46,1,0.33,7,NULL,2,0,0,6,0.75,3,1,4,2,19,15,0.41,4,0.8,3,0.43,L,0,0
0.64,6,5,3,1,317,0.91,4,1,6,0,5,1,0,4,2,350,317,0.91,228,89,13,0.57,3,0.75,14,NULL,4,0,0,4,0.4,3,1,4,0,23,22,0.59,1,0.2,5,0.63,W,3,5
0.6,6,2,1,0,207,0.81,6,4,6,0,2,4,0,6,0,254,207,0.81,127,80,11,0.42,2,0.18,12,NULL,1,2,0,4,0.8,4,0,6,2,21,12,0.41,9,0.75,3,0.43,W,1,2
0.4,2,2,0,0,122,0.71,5,1,2,0,2,0,0,1,1,173,122,0.71,88,34,10,0.32,1,0.5,6,NULL,0,0,0,8,0.89,7,3,9,1,20,17,0.59,3,0.25,2,0.5,L,0,1
0.48,2,1,1,0,121,0.69,9,1,2,1,1,0,0,2,0,176,121,0.69,92,29,14,0.42,0,0,27,NULL,1,0,0,6,1,5,0,8,1,14,0,0,0,0,4,0.5,T,1,1
0.52,2,1,0,0,139,0.71,5,2,2,1,1,0,0,1,1,196,139,0.71,99,40,12,0.39,1,0.2,17,NULL,0,0,0,7,0.58,8,0,4,0,33,0,0,10,1,2,0.4,T,0,1
0.47,9,4,0,0,134,0.72,2,2,9,0,4,5,0,3,6,186,134,0.72,80,54,12,0.6,1,0.1,13,NULL,1,0,0,5,0.63,6,2,6,3,23,19,0.56,4,0.44,5,0.71,W,1,3
0.53,8,4,1,0,171,0.79,6,4,8,2,4,2,0,7,1,217,171,0.79,107,64,8,0.36,2,0.33,9,NULL,0,2,0,5,0.56,2,5,14,3,20,15,0.44,5,0.56,4,0.44,L,1,1
0.64,4,2,1,1,186,0.79,4,4,4,0,2,2,0,4,0,236,186,0.79,138,48,10,0.42,3,0.21,24,NULL,1,0,0,3,0.5,1,0,5,1,24,16,0.46,8,0.62,3,0.38,L,0,1
0.36,3,1,0,0,87,0.66,7,0,3,2,1,0,0,1,2,131,87,0.66,43,44,5,0.31,1,0.11,14,NULL,1,0,0,8,0.67,5,1,13,2,24,19,0.54,5,0.38,3,0.5,W,0,2
0.7,6,3,1,1,321,0.9,1,2,6,2,3,1,0,4,2,356,321,0.9,206,115,17,0.59,1,0.13,7,NULL,0,0,0,2,0.4,3,2,11,1,21,18,0.58,3,0.43,8,0.8,W,1,3
0.3,4,1,0,0,98,0.67,5,2,4,1,1,2,0,4,0,147,98,0.67,71,27,6,0.25,2,0.4,8,NULL,1,1,0,6,1,5,1,7,2,17,13,0.42,4,0.57,6,0.55,L,0,0
0.52,10,3,1,1,184,0.79,5,1,10,4,3,3,0,9,1,233,184,0.79,141,43,10,0.42,2,0.25,10,NULL,0,0,1,1,0.5,1,1,7,1,21,14,0.42,7,0.54,8,0.62,T,0,0
0.48,4,1,1,1,163,0.77,4,1,4,2,1,1,0,3,1,212,163,0.77,90,73,13,0.38,2,0.33,19,NULL,0,0,0,9,0.9,7,3,8,3,25,19,0.58,6,0.46,4,1,T,0,0
0.49,7,2,0,0,146,0.78,4,2,7,2,2,3,0,6,1,188,146,0.78,115,31,10,0.43,2,0.22,11,NULL,3,0,0,7,1,4,2,6,5,24,21,0.49,3,0.43,9,0.64,W,1,2
0.51,9,5,0,0,155,0.78,5,2,9,2,5,2,0,5,4,199,155,0.78,88,67,9,0.5,1,0.14,15,NULL,1,1,0,6,0.46,4,3,17,1,26,22,0.51,4,0.57,5,0.63,L,0,0
0.41,6,3,0,0,141,0.76,2,2,6,2,3,1,0,4,2,186,141,0.76,82,59,12,0.5,4,0.67,8,NULL,0,0,0,5,0.56,5,6,9,4,24,17,0.49,7,0.88,5,0.56,L,0,2
0.59,17,5,2,2,226,0.85,3,3,17,6,5,6,1,10,7,265,226,0.85,116,110,6,0.3,3,0.23,8,NULL,0,1,0,7,0.78,3,1,6,3,19,18,0.51,1,0.13,7,0.58,W,1,3
0.61,7,3,2,0,178,0.79,2,2,7,2,3,2,0,5,2,226,178,0.78,90,88,11,0.48,2,0.25,11,NULL,1,0,0,6,0.86,3,0,11,0,23,17,0.55,6,0.55,3,0.5,L,2,2
0.39,2,1,0,0,97,0.7,9,2,2,1,1,0,0,0,2,139,97,0.7,58,39,7,0.33,1,0.14,9,NULL,2,0,0,4,0.4,1,1,10,1,19,14,0.45,5,0.45,2,0.33,W,1,3
0.42,11,5,0,0,107,0.71,2,0,11,3,5,3,0,3,8,150,107,0.71,46,61,15,0.58,0,0,16,NULL,1,0,0,8,0.67,6,2,18,0,23,19,0.46,4,0.36,4,0.44,W,2,4
0.58,4,1,1,0,162,0.79,3,3,4,1,1,2,0,4,0,204,162,0.79,84,78,21,0.6,2,0.15,17,NULL,1,0,0,8,0.57,5,3,9,3,29,22,0.54,7,0.64,6,0.6,L,1,2
0.62,2,0,0,0,243,0.82,7,2,2,2,0,0,0,1,1,298,243,0.82,153,90,10,0.42,2,0.5,6,NULL,0,0,0,5,0.45,2,2,6,2,24,19,0.49,5,0.45,6,0.55,W,0,1
0.38,8,2,0,0,143,0.79,2,3,8,4,2,2,0,5,3,181,143,0.79,76,67,12,0.4,3,0.38,9,NULL,1,0,0,5,0.5,7,0,5,0,26,20,0.51,6,0.55,3,0.3,L,0,0
0.53,6,1,0,0,213,0.84,3,1,6,3,1,2,0,2,4,253,213,0.84,113,100,8,0.42,1,0.13,8,NULL,0,1,0,2,1,0,1,6,3,16,14,0.5,2,0.67,6,0.75,L,0,1
0.47,6,5,2,1,198,0.86,6,3,6,0,5,1,0,3,3,228,196,0.86,109,87,7,0.58,2,0.29,8,NULL,1,0,0,5,0.71,3,2,12,1,15,14,0.5,1,0.33,4,0.8,W,2,2
0.56,0,0,0,0,211,0.82,4,4,0,0,0,0,0,0,0,257,211,0.82,167,44,15,0.48,0,0,18,NULL,1,0,0,0,0,6,1,9,0,18,11,0.52,7,0.47,4,0.67,L,0,1
0.44,3,1,1,0,157,0.77,6,1,3,1,1,1,0,2,1,203,157,0.77,107,50,10,0.38,1,0.09,7,NULL,0,0,0,1,0.2,6,0,12,0,18,10,0.48,8,0.53,1,0.5,W,1,2
0.6,6,3,1,1,235,0.81,4,1,6,1,3,2,0,5,1,289,235,0.81,166,69,8,0.36,1,0.17,11,NULL,1,0,0,9,0.75,5,2,7,1,21,19,0.54,2,0.4,5,0.63,W,0,2
0.4,3,1,1,1,135,0.7,3,3,3,0,1,2,0,2,1,192,135,0.7,101,34,14,0.39,2,0.4,16,NULL,1,0,0,7,0.7,9,2,5,3,19,16,0.46,3,0.6,2,0.33,L,0,1
0.55,4,0,1,1,147,0.71,10,3,4,2,0,2,0,2,2,206,147,0.71,70,77,11,0.5,2,0.2,19,NULL,0,0,0,1,0.17,5,3,6,0,25,14,0.42,11,0.65,4,0.67,T,0,0
0.45,7,0,0,0,110,0.65,4,2,7,4,0,3,0,6,1,169,110,0.65,66,44,10,0.38,3,0.33,8,NULL,0,0,0,4,0.67,5,2,17,0,25,19,0.58,6,0.35,4,0.67,T,0,0
0.44,2,1,0,0,102,0.67,7,0,2,0,1,1,0,1,1,153,102,0.67,66,36,8,0.3,1,0.17,13,NULL,0,2,0,4,0.8,9,0,13,2,31,22,0.54,9,0.6,7,0.78,T,0,2
0.56,5,3,1,0,147,0.74,10,3,5,1,3,1,0,1,4,198,147,0.74,93,54,5,0.23,0,0,20,NULL,2,1,0,9,0.9,4,1,9,1,25,19,0.46,6,0.4,3,0.6,T,1,2
0.55,3,0,0,0,157,0.77,4,0,3,3,0,0,0,2,1,204,157,0.77,94,63,9,0.35,0,0,10,NULL,1,0,0,5,0.42,5,3,15,2,27,21,0.54,6,0.6,6,0.55,L,0,0
0.45,9,4,4,3,118,0.76,3,5,9,2,4,3,0,9,0,155,118,0.76,62,56,5,0.31,2,0.14,17,NULL,1,0,0,5,0.83,2,0,2,0,22,18,0.46,4,0.4,8,0.62,W,2,3
0.64,7,3,1,1,232,0.85,7,4,7,2,3,2,0,4,3,274,232,0.85,147,85,9,0.5,2,0.13,16,NULL,2,0,0,3,0.6,3,1,5,1,14,12,0.48,2,0.5,1,1,W,0,1
0.36,4,1,0,0,105,0.66,6,2,4,2,1,1,0,3,1,158,105,0.66,78,27,14,0.45,0,0,10,NULL,0,1,0,3,0.6,11,3,12,2,15,13,0.52,2,0.5,1,0.5,L,0,0
0.39,3,2,2,1,114,0.73,8,2,3,1,2,0,0,3,0,156,114,0.73,87,27,6,0.3,3,0.43,8,NULL,0,1,0,4,0.44,7,3,10,1,19,15,0.42,4,0.4,2,0.67,W,1,1
0.61,7,1,1,1,205,0.81,4,3,7,3,1,3,1,2,5,252,205,0.81,150,55,12,0.57,0,0,17,NULL,6,1,0,4,0.57,5,0,6,1,27,21,0.58,6,0.6,6,0.55,L,0,0
0.56,12,3,1,1,190,0.8,4,4,12,3,3,6,0,5,7,238,190,0.8,86,104,14,0.64,3,0.19,14,NULL,2,1,0,5,0.71,5,1,11,1,11,9,0.43,2,0.25,1,0.25,L,0,0
0.44,4,2,1,0,138,0.74,1,4,4,1,2,1,1,2,2,186,138,0.74,66,72,10,0.4,2,0.33,12,NULL,0,0,0,0,0,7,6,24,3,18,12,0.57,6,0.75,4,0.67,W,1,1
0.5,2,2,0,0,148,0.75,7,3,2,0,2,0,0,2,0,197,148,0.75,77,71,8,0.38,1,0.11,10,NULL,0,1,0,10,0.77,7,1,4,1,25,22,0.51,3,0.3,3,0.43,T,0,0
0.5,2,1,1,1,149,0.74,7,2,2,0,1,1,0,2,0,202,149,0.74,116,33,14,0.58,0,0,18,NULL,0,1,0,9,0.82,5,0,10,2,28,21,0.49,7,0.7,4,0.36,T,0,0
0.47,12,5,2,1,134,0.82,6,6,12,4,5,3,0,6,6,164,134,0.82,78,56,8,0.42,4,0.33,14,NULL,2,0,0,6,0.86,4,0,6,2,26,18,0.5,8,0.47,8,0.47,W,1,1
0.53,3,2,0,0,143,0.73,3,2,3,1,2,0,0,3,0,196,143,0.73,92,51,13,0.39,2,0.29,9,NULL,0,0,0,8,0.89,2,2,14,4,27,18,0.5,9,0.53,3,0.6,L,0,0
0.58,16,5,0,0,169,0.83,7,6,16,8,5,3,0,8,8,204,169,0.83,78,91,7,0.54,3,0.17,5,NULL,1,0,0,7,0.54,7,0,4,0,28,24,0.62,4,0.4,6,0.6,W,1,2
0.42,2,1,1,0,104,0.69,5,0,2,1,1,0,0,1,1,151,104,0.69,47,57,9,0.41,2,0.4,10,NULL,0,1,0,7,1,3,3,18,4,21,15,0.38,6,0.6,3,0.3,L,1,1
0.52,3,1,0,0,145,0.74,6,3,3,2,1,0,0,1,2,195,145,0.74,94,51,12,0.41,2,0.25,16,NULL,1,0,0,8,0.57,2,1,7,1,24,21,0.54,3,0.33,3,0.33,L,0,0
0.48,3,2,2,2,129,0.71,4,0,3,1,2,0,0,2,1,182,129,0.71,84,45,11,0.31,2,0.4,15,NULL,2,0,0,4,0.44,2,0,11,1,24,18,0.46,6,0.67,3,0.25,W,0,1
0.55,10,0,0,0,108,0.65,3,1,10,8,0,2,0,6,4,165,108,0.65,56,52,14,0.47,4,0.36,17,NULL,2,0,0,3,0.75,3,1,21,2,36,23,0.7,13,0.5,9,0.9,T,0,2
0.45,5,3,1,0,78,0.59,10,0,5,1,3,1,0,4,1,132,78,0.59,35,43,8,0.27,1,0.11,14,NULL,0,2,0,5,1,8,2,12,0,23,10,0.3,13,0.5,2,0.67,T,1,2
0.54,8,4,2,1,165,0.77,4,6,8,3,4,1,0,7,1,214,165,0.77,86,79,6,0.23,2,0.15,11,NULL,0,1,0,4,0.67,1,1,8,3,23,18,0.4,5,0.36,7,0.5,W,1,2
0.46,4,3,2,2,122,0.66,5,2,4,0,3,1,0,3,1,184,122,0.66,72,50,12,0.35,3,0.33,9,NULL,2,1,0,13,0.68,4,1,12,3,36,27,0.6,9,0.64,4,0.57,L,0,1
0.53,13,4,3,2,175,0.81,3,6,13,5,4,4,1,10,3,215,175,0.81,89,86,17,0.59,4,0.22,15,NULL,3,0,0,10,0.91,2,1,4,1,23,17,0.53,6,0.6,2,0.33,W,1,2
0.47,3,2,0,0,169,0.82,4,0,3,0,2,1,0,2,1,206,169,0.82,136,33,2,0.13,0,0,9,NULL,1,0,0,7,0.58,4,4,17,3,19,15,0.47,4,0.4,0,0,L,1,1
0.57,7,3,0,0,231,0.84,2,4,7,2,3,2,0,4,3,276,231,0.84,139,92,14,0.5,5,0.42,13,NULL,0,0,0,5,1,4,0,4,2,12,8,0.53,4,0.36,2,0.5,W,0,1
0.43,4,2,0,0,153,0.74,1,2,4,2,2,0,0,2,2,207,153,0.74,99,54,10,0.29,3,0.43,12,NULL,0,0,0,4,0.8,6,2,9,3,14,7,0.47,7,0.64,1,0.5,L,0,0
0.48,4,1,0,0,150,0.77,6,2,4,1,1,2,0,3,1,195,150,0.77,92,58,11,0.48,1,0.25,7,NULL,2,0,0,2,0.5,7,4,11,2,22,17,0.52,5,0.38,6,0.86,T,0,1
0.52,9,2,0,0,158,0.77,7,3,9,3,2,4,0,5,4,206,158,0.77,75,83,18,0.6,1,0.11,9,NULL,4,0,0,3,0.6,4,2,3,1,24,16,0.48,8,0.62,5,0.71,T,0,1
0.41,5,2,1,1,105,0.66,5,1,5,1,2,2,0,4,1,158,105,0.66,69,36,9,0.3,3,0.3,16,NULL,3,0,0,8,0.8,2,2,9,0,28,22,0.59,6,0.6,3,0.25,W,1,2
0.59,3,0,0,0,187,0.8,9,3,3,1,0,2,0,2,1,234,187,0.8,104,83,19,0.63,0,0,16,NULL,1,1,0,8,0.89,6,2,9,1,19,15,0.41,4,0.4,1,0.17,L,0,1
0.68,7,3,0,0,214,0.87,4,3,7,1,3,3,0,2,5,247,214,0.87,100,114,18,0.64,3,0.21,12,NULL,1,1,0,11,0.85,5,0,12,2,27,23,0.46,4,0.8,5,0.29,T,0,1
0.32,4,2,1,1,80,0.68,5,1,4,2,2,0,0,3,1,117,80,0.68,57,23,5,0.24,2,0.33,14,NULL,1,0,0,11,0.55,4,3,12,4,28,27,0.54,1,0.2,4,0.57,T,0,1
0.49,9,4,2,2,195,0.86,5,3,9,5,4,0,0,8,1,228,195,0.86,133,62,13,0.57,2,0.18,3,NULL,1,0,0,9,0.5,10,4,5,1,29,23,0.56,6,0.75,4,0.4,W,2,5
0.51,5,1,0,0,197,0.8,2,3,5,0,1,4,0,3,2,245,197,0.8,124,73,8,0.44,0,0,9,NULL,0,1,0,5,0.63,6,0,7,2,20,18,0.44,2,0.25,5,0.42,L,0,0
0.42,5,2,1,0,196,0.83,4,0,5,0,2,3,0,4,1,236,196,0.83,147,49,11,0.44,0,0,6,NULL,0,0,1,8,0.89,9,1,9,1,20,16,0.55,4,0.57,3,1,W,1,2
0.58,5,2,0,0,277,0.87,4,3,5,2,2,1,0,4,1,318,277,0.87,163,114,15,0.58,2,0.2,18,NULL,0,0,0,1,0.33,6,3,7,1,16,13,0.45,3,0.43,6,0.67,L,1,1
0.44,8,4,1,0,151,0.83,6,2,8,1,4,3,1,5,3,182,151,0.83,89,62,15,0.71,3,0.5,9,NULL,0,0,0,4,0.44,4,1,5,2,19,15,0.5,4,0.57,1,0.33,L,1,1
0.56,6,3,0,0,195,0.83,5,1,6,2,3,1,0,4,2,235,195,0.83,157,38,8,0.31,0,0,13,NULL,1,0,0,6,0.75,2,3,7,3,18,15,0.5,3,0.43,2,0.67,W,1,2
0.44,4,0,2,2,121,0.71,10,2,4,3,0,1,0,3,1,171,121,0.71,84,37,10,0.56,2,0.29,11,NULL,2,1,0,5,0.56,5,2,15,4,19,0,0,1,1,5,0.71,T,0,1
0.56,11,4,2,2,173,0.8,4,3,11,5,4,2,0,8,3,215,173,0.8,84,89,11,0.5,3,0.25,12,NULL,3,0,0,4,0.57,9,1,9,0,22,0,0,0,0,6,0.6,T,0,1
0.64,5,3,1,0,277,0.89,4,0,5,2,3,0,1,4,1,312,277,0.89,218,59,9,0.53,0,0,12,NULL,1,1,1,3,0.27,2,1,3,0,24,22,0.52,2,0.67,4,0.44,T,1,1
0.36,2,0,1,1,128,0.79,7,2,2,1,0,1,0,2,0,163,128,0.79,64,64,4,0.4,2,0.25,5,NULL,2,2,0,12,0.92,6,0,2,2,21,20,0.48,1,0.33,4,0.5,T,0,1
0.57,7,3,0,0,191,0.79,1,2,7,3,3,1,0,4,3,243,191,0.79,127,64,17,0.49,6,0.67,10,NULL,0,0,0,7,0.64,7,3,5,1,22,18,0.58,4,0.5,4,0.57,T,0,1
0.43,4,1,0,0,139,0.74,4,1,4,0,1,3,0,2,2,188,139,0.74,83,56,5,0.26,1,0.33,18,NULL,1,1,0,3,0.38,1,1,12,3,17,13,0.42,4,0.5,4,0.4,T,0,1
0.66,10,2,0,0,238,0.84,4,1,10,6,2,2,0,5,5,283,238,0.84,122,116,21,0.66,3,0.38,14,NULL,2,2,0,5,0.83,7,0,4,0,26,22,0.69,4,0.4,8,0.8,T,0,0
0.34,2,0,0,0,101,0.7,8,1,2,2,0,0,0,0,2,145,101,0.7,72,29,8,0.44,0,0,14,NULL,2,0,0,3,0.75,12,1,9,2,16,10,0.31,6,0.6,2,0.33,T,0,0
0.46,4,2,1,0,145,0.74,3,2,4,1,2,1,0,3,1,195,145,0.74,88,57,17,0.55,1,0.17,19,NULL,1,0,0,2,0.4,8,1,4,1,21,14,0.41,7,0.5,5,0.63,W,1,2
0.54,3,1,0,0,181,0.77,4,1,3,1,1,1,0,0,3,234,181,0.77,128,53,14,0.42,1,0.25,10,NULL,1,0,0,8,0.67,8,1,8,1,27,20,0.59,7,0.5,6,0.86,L,0,1
0.51,9,2,1,1,148,0.8,4,4,9,6,2,1,0,6,3,184,148,0.8,93,55,8,0.44,5,0.45,15,NULL,0,1,0,2,0.5,2,3,17,3,15,10,0.38,5,0.63,3,0.43,L,0,0
0.49,9,2,0,0,140,0.8,3,6,9,3,2,4,0,6,3,175,140,0.8,72,68,5,0.31,2,0.13,6,NULL,1,0,0,6,0.75,4,1,8,2,19,16,0.62,3,0.38,4,0.67,W,0,1
0.59,4,3,1,0,231,0.83,4,0,4,1,3,0,0,4,0,277,231,0.83,122,109,15,0.54,0,0,16,NULL,3,1,0,4,0.67,3,4,8,0,17,12,0.39,5,0.45,5,0.5,T,2,3
0.41,6,1,1,1,135,0.75,2,3,6,2,1,3,0,4,2,181,135,0.75,78,57,10,0.31,4,0.44,14,NULL,0,0,0,9,0.69,5,0,10,1,25,19,0.61,6,0.55,3,1,T,0,3
0.47,18,4,2,2,158,0.81,2,4,18,7,4,7,2,11,7,195,158,0.81,98,60,11,0.48,2,0.18,15,NULL,0,2,0,6,0.6,6,1,3,1,20,17,0.57,3,0.5,5,0.56,W,0,2
0.53,7,2,1,0,180,0.79,2,2,7,4,2,1,0,5,2,227,180,0.79,97,83,8,0.31,2,0.4,9,NULL,1,0,0,4,0.57,5,7,15,4,16,13,0.43,3,0.5,4,0.57,L,1,1
0.43,9,4,0,0,125,0.74,5,3,9,2,4,3,0,7,2,168,125,0.74,80,45,13,0.54,3,0.23,11,NULL,1,0,0,5,0.56,10,0,10,0,15,14,0.41,1,0.17,2,0.25,L,0,0
0.57,2,0,0,0,174,0.77,3,2,2,2,0,0,0,1,1,226,174,0.77,73,101,7,0.39,1,0.08,13,NULL,0,1,0,3,0.3,3,3,26,4,25,20,0.59,5,0.83,4,0.57,W,0,2
0.56,13,5,1,1,183,0.82,6,5,13,4,5,4,0,10,3,224,183,0.82,113,70,8,0.4,5,0.5,12,NULL,2,0,0,4,0.5,5,1,7,1,20,14,0.47,6,0.43,2,0.5,W,0,1
0.44,3,1,0,0,130,0.73,4,3,3,1,1,1,0,2,1,178,130,0.73,91,0.39,12,0.44,2,0.4,11,NULL,0,0,1,4,0.67,6,4,13,5,24,16,0.53,8,0.57,6,0.75,L,0,0
0.49,9,3,1,1,180,0.82,4,4,9,2,3,4,0,7,2,219,180,0.82,93,87,9,0.53,3,0.38,18,NULL,1,0,0,5,0.63,3,1,3,0,16,13,0.46,3,0.6,2,0.4,W,0,1
0.51,3,0,0,0,178,0.79,3,2,3,2,0,1,0,2,1,224,176,0.79,145,31,19,0.51,1,0.17,10,NULL,0,0,1,5,0.63,4,4,8,3,17,15,0.54,2,0.4,3,0.43,L,0,0
0.51,9,4,0,0,160,0.78,7,3,9,4,4,1,0,4,5,205,160,0.78,94,66,8,0.38,1,0.13,7,NULL,5,0,0,8,0.8,6,1,4,3,34,28,0.57,6,0.5,10,0.63,L,0,0
0.49,9,3,0,0,141,0.74,8,1,9,5,3,1,0,3,6,190,141,0.74,82,59,7,24,4,0.44,9,NULL,1,1,0,7,0.78,6,1,5,4,27,21,0.43,6,0.5,5,0.5,W,0,1
0.59,8,2,0,0,195,0.81,5,5,8,2,2,4,0,5,3,240,195,0.81,97,98,11,0.44,3,0.43,17,NULL,0,1,0,5,0.83,6,1,13,1,23,13,0.38,10,0.77,5,0.56,W,0,2
0.41,2,1,0,0,111,0.68,3,1,2,0,1,1,0,2,0,163,111,0.68,87,24,12,0.38,0,0,10,NULL,1,0,0,9,0.82,2,4,13,2,24,21,0.62,3,0.23,6,0.75,L,0,0
0.42,4,0,1,1,148,0.8,3,2,4,2,0,2,0,3,1,185,148,0.8,89,59,11,0.5,3,0.38,16,NULL,2,0,0,3,0.75,7,0,3,0,15,10,0.42,5,0.71,3,0.6,L,0,1
0.58,2,2,1,0,217,0.84,3,1,2,0,2,0,0,1,1,257,217,0.84,128,89,13,0.48,1,0.25,13,NULL,1,0,0,5,0.71,4,2,3,0,16,14,0.58,2,0.29,4,0.8,W,2,2
0.52,10,6,3,1,235,0.82,1,1,10,1,6,3,1,6,4,285,235,0.82,142,93,17,0.59,1,0.13,9,NULL,0,0,0,3,0.75,3,1,16,2,21,15,0.71,6,0.46,9,1,W,2,2
0.48,4,2,2,2,210,0.8,2,1,4,1,2,1,0,2,2,261,210,0.8,138,72,14,0.5,4,0.29,13,NULL,1,1,0,1,0.5,3,3,14,4,13,6,0.29,7,0.54,3,0.43,L,0,0
0.53,5,2,2,2,171,0.79,7,5,5,2,2,1,0,5,0,217,171,0.79,135,36,9,0.56,2,0.25,15,NULL,0,0,0,4,0.67,6,0,8,4,16,13,0.38,3,0.5,4,0.67,T,0,2
0.47,7,5,3,2,151,0.79,3,4,7,2,5,0,0,6,1,191,151,0.79,97,54,9,0.53,3,0.25,11,NULL,4,0,0,9,0.75,12,1,8,2,24,21,0.62,3,0.5,2,0.4,T,1,2
0.32,4,2,2,0,117,0.74,5,0,4,0,2,2,0,4,0,159,117,0.74,85,32,7,0.32,0,0,6,NULL,0,1,0,10,0.83,4,1,7,1,27,23,0.66,4,0.8,5,0.83,W,2,2
0.68,4,1,1,1,316,0.91,6,1,4,2,1,1,0,3,1,348,316,0.91,189,127,6,0.43,1,0.2,10,NULL,0,0,0,2,0.67,4,2,3,0,13,12,0.34,1,0.2,4,0.44,L,0,1
0.4,6,1,0,0,105,0.7,10,2,6,3,1,2,0,4,2,151,105,0.7,67,38,5,0.26,1,0.25,5,NULL,0,1,0,8,0.62,1,0,15,2,24,21,0.49,3,0.75,3,0.5,W,0,2
0.6,3,3,1,0,185,0.8,5,3,3,0,3,0,0,3,0,230,185,0.8,88,97,12,0.48,3,0.23,9,NULL,1,1,0,5,0.63,7,2,8,1,23,22,0.51,1,0.25,4,0.44,L,1,1
0.64,11,2,3,2,253,0.85,7,3,11,4,2,5,0,6,5,298,253,0.85,160,93,15,0.71,5,0.71,7,NULL,1,0,0,11,0.79,6,2,4,3,31,27,0.55,4,0.57,9,0.69,W,1,1
